Subject,Publication/Description,Year Level,Semester,Download Link
Java Programming,Tex - Max Publication,Second Year Diploma,Semester - 4,https://drive.google.com/file/d/1yRCNv_5g56hIUxwCW13SuXPIEI5eXddf/view?usp=drivesdk
Software Engineering,N/A,Second Year Diploma,Semester - 4,https://drive.google.com/file/d/13WScNQcJ-HhEPNNKng-zqKugJwtAU5JD/view?usp=drivesdk
Advanced Java Programming,N/A,Third Year Diploma,Semester - 5,https://drive.google.com/file/d/13liA42LvoZSgED_eYGj8mSvTWUeT878r/view?usp=drivesdk
Advanced Java Programming,Nirali Prakashan,Third Year Diploma,Semester - 5,https://drive.google.com/file/d/13maTQ_cjAz0sRbXh-xn8xW1JSfnf6V-c/view?usp=drivesdk
Computer Network,N/A,Third Year Diploma,Semester - 5,https://drive.google.com/file/d/13mvXfaqhXVtLqIgPRqMPw6PXt9y3BkKD/view?usp=drivesdk
Client Side Scripting Language,N/A,Third Year Diploma,Semester - 5,https://drive.google.com/file/d/140pG7jgcfGGnDzB4_rjNCN-bDrRUgSH7/view?usp=drivesdk
Software Testing,N/A,Third Year Diploma,Semester - 5,https://drive.google.com/file/d/17pMQwZhJSTuG1zm-kAp66eJet0AoTW4s/view?usp=drivesdk
Environmental Studies,N/A,Third Year Diploma,Semester - 5,https://drive.google.com/file/d/1441xH39YbRA76yVpFLarIFA_z9LV5Pc8/view?usp=drivesdk
Operating System,N/A,Third Year Diploma,Semester - 5,https://drive.google.com/file/d/14PIVOFFqE5G9d5dsOL-tIs8xYhq9LpKL/view?usp=drivesdk
Software Testing,N/A,Third Year Diploma,Semester - 5,https://drive.google.com/file/d/17qAHCaUpjZDSBtqZce2Ny8wBkqu_qf_h/view?usp=drivesdk
Software Testing,Technical Publication,Third Year Diploma,Semester - 5,https://drive.google.com/file/d/14QYoLKsJmjFXOImQ8BiejyWjGt7MW9jz/view?usp=drivesdk
Advanced Java Programming,Tech Knowledge Publication,Third Year Diploma,Semester - 5,https://drive.google.com/file/d/176zWMf3gF8l_fAnp6f8aznrutaurT7q2/view?usp=drivesdk
Environmental Studies,N/A,Second Year Diploma,Semester - 4,https://drive.google.com/file/d/1jLde1GaFBTld4ZfHVsfnCRI612UD6x1F/view?usp=drivesdk
Client Side Scripting Language,Tech Knowledge Publication,Third Year Diploma,Semester - 5,https://drive.google.com/file/d/17EGddiQ-yPcVuiVp3XAKzwKyaFl4s5L1/view?usp=drivesdk
Web Based Application Development using PHP,N/A,Third Year Diploma,Semester - 6,https://drive.google.com/file/d/18Jyu3RtU0maMTsEy_s0kR98pRgjd5uoG/view?usp=drivesdk
Web Based Application Development using PHP,N/A,Third Year Diploma,Semester - 6,https://drive.google.com/file/d/18O5bomyNYFD3slgdTTseIQVDT0yePOVL/view?usp=drivesdk
