Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"STRENGTH OF MATERIALS (313308)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for STRENGTH OF MATERIALS.","https://msbtenotes-info.netlify.app/Branches/313308-strength-of-materials.html",,"313308, Civil Engineering, Semester 3, K-Scheme"
"FLUID MECHANICS AND MACHINERY (313309)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for FLUID MECHANICS AND MACHINERY.","https://msbtenotes-info.netlify.app/Branches/313309-fluid-mechanics-and-machinery.html",,"313309, Mechanical Engineering, Semester 3, K-Scheme"
"THERMAL ENGINEERING (313310)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for THERMAL ENGINEERING.","https://msbtenotes-info.netlify.app/Branches/313310-thermal-engineering.html",,"313310, Mechanical Engineering, Semester 3, K-Scheme"
"PRODUCTION DRAWING (313311)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for PRODUCTION DRAWING.","https://msbtenotes-info.netlify.app/Branches/313311-production-drawing.html",,"313311, Mechanical Engineering, Semester 3, K-Scheme"
"BASIC ELECTRICAL AND ELECTRONICS (312020)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for BASIC ELECTRICAL AND ELECTRONICS.","https://msbtenotes-info.netlify.app/Branches/312020-basic-electrical-and-electronics.html",,"312020, Mechanical Engineering, Semester 3, K-Scheme"
"COMPUTER AIDED DRAFTING (313006)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for COMPUTER AIDED DRAFTING.","https://msbtenotes-info.netlify.app/Branches/313006-computer-aided-drafting.html",,"313006, Mechanical Engineering, Semester 3, K-Scheme"
"FUNDAMENTALS OF PYTHON PROGRAMMING (313007)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for FUNDAMENTALS OF PYTHON PROGRAMMING.","https://msbtenotes-info.netlify.app/Branches/313007-fundamentals-of-python-programming.html",,"313007, Mechanical Engineering, Semester 3, K-Scheme"
"Mechanical Engineering Semester 4","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Download all subjects syllabus and notes for Mechanical Engineering Semester 4.","https://msbtenotes-info.netlify.app/Branches/Mechanical-Engineering-Semester-4.html",,"Mechanical Engineering, Semester 4, K-Scheme"
"THEORY OF MACHINES (313313)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for THEORY OF MACHINES.","https://msbtenotes-info.netlify.app/Branches/313313-theory-of-machines.html",,"313313, Mechanical Engineering, Semester 4, K-Scheme"
"METROLOGY AND MEASUREMENT (313316)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for METROLOGY AND MEASUREMENT.","https://msbtenotes-info.netlify.app/Branches/313316-metrology-and-measurement.html",,"313316, Mechanical Engineering, Semester 4, K-Scheme"
"MECHANICAL ENGINEERING MATERIALS (313317)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for MECHANICAL ENGINEERING MATERIALS.","https://msbtenotes-info.netlify.app/Branches/313317-mechanical-engineering-materials.html",,"313317, Mechanical Engineering, Semester 4, K-Scheme"
"PRODUCTION PROCESSES (314340)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for PRODUCTION PROCESSES.","https://msbtenotes-info.netlify.app/Branches/314340-production-processes.html",,"314340, Mechanical Engineering, Semester 4, K-Scheme"
"ENTREPRENEURSHIP DEVELOPMENT AND STARTUPS (314014)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for ENTREPRENEURSHIP DEVELOPMENT AND STARTUPS.","https://msbtenotes-info.netlify.app/Branches/314014-entrepreneurship-development-and-startups.html",,"314014, Mechanical Engineering, Semester 4, K-Scheme"
"BASICS OF MECHATRONICS (314017)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for BASICS OF MECHATRONICS.","https://msbtenotes-info.netlify.app/Branches/314017-basics-of-mechatronics.html",,"314017, Mechanical Engineering, Semester 4, K-Scheme"
"CNC PROGRAMMING (314018)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for CNC PROGRAMMING.","https://msbtenotes-info.netlify.app/Branches/314018-cnc-programming.html",,"314018, Mechanical Engineering, Semester 4, K-Scheme"
"Mechanical Engineering Semester 5","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Download all subjects syllabus and notes for Mechanical Engineering Semester 5.","https://msbtenotes-info.netlify.app/Branches/Mechanical-Engineering-Semester-5.html",,"Mechanical Engineering, Semester 5, K-Scheme"
"EMERGING TRENDS IN MECHANICAL ENGINEERING (315363)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for EMERGING TRENDS IN MECHANICAL ENGINEERING.","https://msbtenotes-info.netlify.app/Branches/315363-emerging-trends-in-mechanical-engineering.html",,"315363, Mechanical Engineering, Semester 5, K-Scheme"
"POWER ENGINEERING (315371)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for POWER ENGINEERING.","https://msbtenotes-info.netlify.app/Branches/315371-power-engineering.html",,"315371, Mechanical Engineering, Semester 5, K-Scheme"
"AUTOMOBILE ENGINEERING (315372)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for AUTOMOBILE ENGINEERING.","https://msbtenotes-info.netlify.app/Branches/315372-automobile-engineering.html",,"315372, Mechanical Engineering, Semester 5, K-Scheme"
"Elective: 315367 - PRODUCT DESIGN AND DEVELOPMENT ()","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for Elective: 315367 - PRODUCT DESIGN AND DEVELOPMENT.","https://msbtenotes-info.netlify.app/Branches/elective-315367-product-design-and-development.html",,", Mechanical Engineering, Semester 5, K-Scheme"
"Elective: 315373 - HEATING VENTILATION AIR CONDITIONING ()","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for Elective: 315373 - HEATING VENTILATION AIR CONDITIONING.","https://msbtenotes-info.netlify.app/Branches/elective-315373-heating-ventilation-air-conditioning.html",,", Mechanical Engineering, Semester 5, K-Scheme"
"Elective: 315374 - POWER PLANT ENGINEERING ()","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for Elective: 315374 - POWER PLANT ENGINEERING.","https://msbtenotes-info.netlify.app/Branches/elective-315374-power-plant-engineering.html",,", Mechanical Engineering, Semester 5, K-Scheme"
"Mechanical Engineering Semester 6","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Download all subjects syllabus and notes for Mechanical Engineering Semester 6.","https://msbtenotes-info.netlify.app/Branches/Mechanical-Engineering-Semester-6.html",,"Mechanical Engineering, Semester 6, K-Scheme"
"DESIGN OF MACHINE ELEMENTS (316357)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for DESIGN OF MACHINE ELEMENTS.","https://msbtenotes-info.netlify.app/Branches/316357-design-of-machine-elements.html",,"316357, Mechanical Engineering, Semester 6, K-Scheme"
"INDUSTRIAL ENGINEERING AND QUALITY CONTROL (316362)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for INDUSTRIAL ENGINEERING AND QUALITY CONTROL.","https://msbtenotes-info.netlify.app/Branches/316362-industrial-engineering-and-quality-control.html",,"316362, Mechanical Engineering, Semester 6, K-Scheme"
"INDUSTRIAL HYDRAULICS AND PNEUMATICS (316363)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for INDUSTRIAL HYDRAULICS AND PNEUMATICS.","https://msbtenotes-info.netlify.app/Branches/316363-industrial-hydraulics-and-pneumatics.html",,"316363, Mechanical Engineering, Semester 6, K-Scheme"
"3D MODELLING AND ADDITIVE MANUFACTURING (316013)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for 3D MODELLING AND ADDITIVE MANUFACTURING.","https://msbtenotes-info.netlify.app/Branches/316013-3d-modelling-and-additive-manufacturing.html",,"316013, Mechanical Engineering, Semester 6, K-Scheme"
"Elective: 316359 - COMPUTER INTEGRATED MANUFACTURING SYSTEMS ()","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for Elective: 316359 - COMPUTER INTEGRATED MANUFACTURING SYSTEMS.","https://msbtenotes-info.netlify.app/Branches/elective-316359-computer-integrated-manufacturing-systems.html",,", Mechanical Engineering, Semester 6, K-Scheme"
"Elective: 316364 - ALTERNATIVE ENERGY SOURCES AND ENERGY MANAGEMENT ()","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for Elective: 316364 - ALTERNATIVE ENERGY SOURCES AND ENERGY MANAGEMENT.","https://msbtenotes-info.netlify.app/Branches/elective-316364-alternative-energy-sources-and-energy-management.html",,", Mechanical Engineering, Semester 6, K-Scheme"
"Elective: 316365 - COLD CHAIN MANAGEMENT ()","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for Elective: 316365 - COLD CHAIN MANAGEMENT.","https://msbtenotes-info.netlify.app/Branches/elective-316365-cold-chain-management.html",,", Mechanical Engineering, Semester 6, K-Scheme"
"Civil Engineering Syllabus & Notes","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Official MSBTE K-Scheme Syllabus and Notes for Civil Engineering.","https://msbtenotes-info.netlify.app/Branches/Civil.html",,"Civil Engineering, K-Scheme, Syllabus"
"Civil Engineering Semester 1","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Download all subjects syllabus and notes for Civil Engineering Semester 1.","https://msbtenotes-info.netlify.app/Branches/Civil-Semester-1.html",,"Civil Engineering, Semester 1, K-Scheme"
"CIVIL ENGINEERING WORKSHOP (311010)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for CIVIL ENGINEERING WORKSHOP.","https://msbtenotes-info.netlify.app/Branches/311010-civil-engineering-workshop.html",,"311010, Civil Engineering, Semester 1, K-Scheme"
"Civil Engineering Semester 2","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Download all subjects syllabus and notes for Civil Engineering Semester 2.","https://msbtenotes-info.netlify.app/Branches/Civil-Semester-2.html",,"Civil Engineering, Semester 2, K-Scheme"
"PROFESSIONALCOMMUNICATION (312002)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for PROFESSIONALCOMMUNICATION.","https://msbtenotes-info.netlify.app/Branches/312002-professionalcommunication.html",,"312002, Civil Engineering, Semester 2, K-Scheme"
"SOCIALANDLIFESKILLS (312003)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for SOCIALANDLIFESKILLS.","https://msbtenotes-info.netlify.app/Branches/312003-socialandlifeskills.html",,"312003, Civil Engineering, Semester 2, K-Scheme"
"APPLIEDMATHEMATICS (312301)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for APPLIEDMATHEMATICS.","https://msbtenotes-info.netlify.app/Branches/312301-appliedmathematics.html",,"312301, Civil Engineering, Semester 2, K-Scheme"
"APPLIEDSCIENCE (312308)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for APPLIEDSCIENCE.","https://msbtenotes-info.netlify.app/Branches/312308-appliedscience.html",,"312308, Civil Engineering, Semester 2, K-Scheme"
"ENGINEERINGMECHANICS (312312)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for ENGINEERINGMECHANICS.","https://msbtenotes-info.netlify.app/Branches/312312-engineeringmechanics.html",,"312312, Civil Engineering, Semester 2, K-Scheme"
"BUILDINGMATERIALANDCONSTRUCTION (312338)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for BUILDINGMATERIALANDCONSTRUCTION.","https://msbtenotes-info.netlify.app/Branches/312338-buildingmaterialandconstruction.html",,"312338, Civil Engineering, Semester 2, K-Scheme"
"SURVEYING (312339)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for SURVEYING.","https://msbtenotes-info.netlify.app/Branches/312339-surveying.html",,"312339, Civil Engineering, Semester 2, K-Scheme"
"Civil Engineering Semester 3","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Download all subjects syllabus and notes for Civil Engineering Semester 3.","https://msbtenotes-info.netlify.app/Branches/Civil-Semester-3.html",,"Civil Engineering, Semester 3, K-Scheme"
"ADVANCED SURVEYING (313321)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for ADVANCED SURVEYING.","https://msbtenotes-info.netlify.app/Branches/313321-advanced-surveying.html",,"313321, Civil Engineering, Semester 3, K-Scheme"
"CONCRETE TECHNOLOGY (313322)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for CONCRETE TECHNOLOGY.","https://msbtenotes-info.netlify.app/Branches/313322-concrete-technology.html",,"313322, Civil Engineering, Semester 3, K-Scheme"
"HIGHWAY ENGINEERING (313323)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for HIGHWAY ENGINEERING.","https://msbtenotes-info.netlify.app/Branches/313323-highway-engineering.html",,"313323, Civil Engineering, Semester 3, K-Scheme"
"BUILDING PLANNING & DRAWING WITH CAD (313009)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for BUILDING PLANNING & DRAWING WITH CAD.","https://msbtenotes-info.netlify.app/Branches/313009-building-planning-drawing-with-cad.html",,"313009, Civil Engineering, Semester 3, K-Scheme"
"CONSTRUCTION MANAGEMENT (313010)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for CONSTRUCTION MANAGEMENT.","https://msbtenotes-info.netlify.app/Branches/313010-construction-management.html",,"313010, Civil Engineering, Semester 3, K-Scheme"
"Civil Engineering Semester 4","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Download all subjects syllabus and notes for Civil Engineering Semester 4.","https://msbtenotes-info.netlify.app/Branches/Civil-Semester-4.html",,"Civil Engineering, Semester 4, K-Scheme"
"RAILWAY, BRIDGE AND TUNNEL ENGINEERING (314312)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for RAILWAY, BRIDGE AND TUNNEL ENGINEERING.","https://msbtenotes-info.netlify.app/Branches/314312-railway-bridge-and-tunnel-engineering.html",,"314312, Civil Engineering, Semester 4, K-Scheme"
"HYDRAULICS (314303)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for HYDRAULICS.","https://msbtenotes-info.netlify.app/Branches/314303-hydraulics.html",,"314303, Civil Engineering, Semester 4, K-Scheme"
"ESTIMATING, COSTING AND VALUATION (314313)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for ESTIMATING, COSTING AND VALUATION.","https://msbtenotes-info.netlify.app/Branches/314313-estimating-costing-and-valuation.html",,"314313, Civil Engineering, Semester 4, K-Scheme"
"WATER AND WASTEWATER ENGINEERING (314314)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for WATER AND WASTEWATER ENGINEERING.","https://msbtenotes-info.netlify.app/Branches/314314-water-and-wastewater-engineering.html",,"314314, Civil Engineering, Semester 4, K-Scheme"
"GEOTECHNICAL ENGINEERING (314315)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for GEOTECHNICAL ENGINEERING.","https://msbtenotes-info.netlify.app/Branches/314315-geotechnical-engineering.html",,"314315, Civil Engineering, Semester 4, K-Scheme"
"Civil Engineering Semester 5","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Download all subjects syllabus and notes for Civil Engineering Semester 5.","https://msbtenotes-info.netlify.app/Branches/Civil-Semester-5.html",,"Civil Engineering, Semester 5, K-Scheme"
"THEORY OF STRUCTURES (315313)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for THEORY OF STRUCTURES.","https://msbtenotes-info.netlify.app/Branches/315313-theory-of-structures.html",,"315313, Civil Engineering, Semester 5, K-Scheme"
"WATER RESOURCE ENGINEERING (315314)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for WATER RESOURCE ENGINEERING.","https://msbtenotes-info.netlify.app/Branches/315314-water-resource-engineering.html",,"315314, Civil Engineering, Semester 5, K-Scheme"
"EMERGING TRENDS IN CIVIL ENGINEERING (315315)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for EMERGING TRENDS IN CIVIL ENGINEERING.","https://msbtenotes-info.netlify.app/Branches/315315-emerging-trends-in-civil-engineering.html",,"315315, Civil Engineering, Semester 5, K-Scheme"
"Elective: 315316- ENERGY CONSERVATION AND GREEN BUILDING ()","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for Elective: 315316- ENERGY CONSERVATION AND GREEN BUILDING.","https://msbtenotes-info.netlify.app/Branches/elective-315316-energy-conservation-and-green-building.html",,", Civil Engineering, Semester 5, K-Scheme"
"Elective: 315317- PRECAST AND PRESTRESSED CONCRETE STRUCTURES ()","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for Elective: 315317- PRECAST AND PRESTRESSED CONCRETE STRUCTURES.","https://msbtenotes-info.netlify.app/Branches/elective-315317-precast-and-prestressed-concrete-structures.html",,", Civil Engineering, Semester 5, K-Scheme"
"Elective: 315318- ROAD TRAFFIC ENGINEERING ()","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for Elective: 315318- ROAD TRAFFIC ENGINEERING.","https://msbtenotes-info.netlify.app/Branches/elective-315318-road-traffic-engineering.html",,", Civil Engineering, Semester 5, K-Scheme"
"Civil Engineering Semester 6","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Download all subjects syllabus and notes for Civil Engineering Semester 6.","https://msbtenotes-info.netlify.app/Branches/Civil-Semester-6.html",,"Civil Engineering, Semester 6, K-Scheme"
"CONTRACTS AND BILLING (316307)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for CONTRACTS AND BILLING.","https://msbtenotes-info.netlify.app/Branches/316307-contracts-and-billing.html",,"316307, Civil Engineering, Semester 6, K-Scheme"
"DESIGN OF RCC AND STEEL STRUCTURES (316308)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for DESIGN OF RCC AND STEEL STRUCTURES.","https://msbtenotes-info.netlify.app/Branches/316308-design-of-rcc-and-steel-structures.html",,"316308, Civil Engineering, Semester 6, K-Scheme"
"MAINTENANCE AND REPAIRS OF STRUCTURES (316309)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for MAINTENANCE AND REPAIRS OF STRUCTURES.","https://msbtenotes-info.netlify.app/Branches/316309-maintenance-and-repairs-of-structures.html",,"316309, Civil Engineering, Semester 6, K-Scheme"
"Elective: 316310 - BUILDING SERVICES ()","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for Elective: 316310 - BUILDING SERVICES.","https://msbtenotes-info.netlify.app/Branches/elective-316310-building-services.html",,", Civil Engineering, Semester 6, K-Scheme"
"Elective: 316311 - EARTHQUAKE RESISTANT BUILDING ()","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for Elective: 316311 - EARTHQUAKE RESISTANT BUILDING.","https://msbtenotes-info.netlify.app/Branches/elective-316311-earthquake-resistant-building.html",,", Civil Engineering, Semester 6, K-Scheme"
"Elective: 316312 - SOLID WASTE MANAGEMENT ()","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for Elective: 316312 - SOLID WASTE MANAGEMENT.","https://msbtenotes-info.netlify.app/Branches/elective-316312-solid-waste-management.html",,", Civil Engineering, Semester 6, K-Scheme"
"Electrical Engineering Syllabus & Notes","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Official MSBTE K-Scheme Syllabus and Notes for Electrical Engineering.","https://msbtenotes-info.netlify.app/Branches/Electrical-Engineering.html",,"Electrical Engineering, K-Scheme, Syllabus"
"Electrical Engineering Semester 1","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Download all subjects syllabus and notes for Electrical Engineering Semester 1.","https://msbtenotes-info.netlify.app/Branches/Electrical-Engineering-Semester-1.html",,"Electrical Engineering, Semester 1, K-Scheme"
"Electrical Engineering Semester 2","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Download all subjects syllabus and notes for Electrical Engineering Semester 2.","https://msbtenotes-info.netlify.app/Branches/Electrical-Engineering-Semester-2.html",,"Electrical Engineering, Semester 2, K-Scheme"
"BASIC MECHANICAL ENGINEERING (312006)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for BASIC MECHANICAL ENGINEERING.","https://msbtenotes-info.netlify.app/Branches/312006-basic-mechanical-engineering.html",,"312006, Electrical Engineering, Semester 2, K-Scheme"
"ELEMENTS OF ELECTRONICS (312309)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for ELEMENTS OF ELECTRONICS.","https://msbtenotes-info.netlify.app/Branches/312309-elements-of-electronics.html",,"312309, Electrical Engineering, Semester 2, K-Scheme"
"FUNDAMENTAL OF ELECTRICAL ENGINEERING (312310)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for FUNDAMENTAL OF ELECTRICAL ENGINEERING.","https://msbtenotes-info.netlify.app/Branches/312310-fundamental-of-electrical-engineering.html",,"312310, Electrical Engineering, Semester 2, K-Scheme"
"Electrical Engineering Semester 3","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Download all subjects syllabus and notes for Electrical Engineering Semester 3.","https://msbtenotes-info.netlify.app/Branches/Electrical-Engineering-Semester-3.html",,"Electrical Engineering, Semester 3, K-Scheme"
"ELECTRICAL CIRCUITS AND NETWORK (313332)","https://msbtenotes-info.netlify.app/resourse/MSBTE%20NOTES%20AND%20INFORMATION.png","MSBTE Study Notes",,"Syllabus, Notes and Important Questions for ELECTRICAL CIRCUITS AND NETWORK.","https://msbtenotes-info.netlify.app/Branches/313332-electrical-circuits-and-network.html",,"313332, Electrical Engineering, Semester 3, K-Scheme"
