Scheme,Branch,Semester,Subject / Test Name,PDF URL,Drive Link
K-Scheme,Computer Technology,Second Year Third Semester,313302 - Database Management System - Unit Test - 1,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/DMS313302_UT-1_QB_2_120824.pdf,https://drive.google.com/file/d/1j8o8R4dgjtHSMvbyh3GKUwNCW9rmw2bv/view?usp=drivesdk
K-Scheme,Computer Technology,Second Year Third Semester,313302 - Database Management System - Unit Test - 2,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/DMS_311302_UT-2_QB_211024.pdf,https://drive.google.com/file/d/1xb2deC_E-CohcFSGHfxOkg5TdsKHuB0y/view?usp=drivesdk
K-Scheme,Computer Technology,Second Year Third Semester,313304 - Object Oriented Programming Using C++ - Unit Test - 1,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/313304_070825.pdf,https://drive.google.com/file/d/1aI4MHR5mz8Pt45RgJwMyNAgicRp6HsFx/view?usp=drivesdk
K-Scheme,Computer Technology,Second Year Third Semester,313304 - Object Oriented Programming Using C++ - Unit Test - 2,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/313304_-_OBJECT_ORIENTED_PROGRAMMING_USING_C__-_UNIT_TEST_-_2_181024.pdf,https://drive.google.com/file/d/1YirdjJvJ051IkBXBUBUetCLaPdPn7-Yv/view?usp=drivesdk
K-Scheme,Computer Technology,Second Year Fourth Semester,314318 - Data Communication and Computer Network - Unit Test - 1,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/314318_-_DATA_COMMUNICATION_AND_COMPUTER_NETWORK-_UNIT_TEST_-_1_170125.pdf,https://drive.google.com/file/d/14ZbeGM3CApFkyyoXrtVjya1xfFx66_nd/view?usp=drivesdk
K-Scheme,Computer Technology,Second Year Fourth Semester,314318 - Data Communication and Computer Network - Unit Test - 2,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/314318_-_DATA_COMMUNICATION_AND_COMPUTER_NETWORK_260325.pdf,https://drive.google.com/file/d/1RX1tQtE9nDNswyWVpum-5BmuSJ6KTmfm/view?usp=drivesdk
K-Scheme,Computer Technology,Second Year Fourth Semester,314321 - Microprocessor Programming - Unit Test - 1,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/314321-MICROPROCESSOR_PROGRAMMING-UNIT_TEST-1_230125.pdf,https://drive.google.com/file/d/1ItFjEHlcGa_T43ibDn9XFJnWKH2Rd2LU/view?usp=drivesdk
K-Scheme,Computer Technology,Second Year Fourth Semester,314321 - Microprocessor Programming - Unit Test - 2,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/MIC_314321_200325.pdf,https://drive.google.com/file/d/1p5Kj-TWdkoeWh1mEoRK_bJLtVAzrYbuP/view?usp=drivesdk
K-Scheme,Computer Technology,Second Year Fourth Semester,314317 - Java Programming - Unit Test - 1,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/JPR_314317_QB1_200125.pdf,https://drive.google.com/file/d/1tIRxvoA-qdeteJdNqcXT4si2VAi-hYQm/view?usp=drivesdk
K-Scheme,Computer Technology,Second Year Fourth Semester,314317 - Java Programming - Unit Test - 2,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/JPR_314317_200325.pdf,https://drive.google.com/file/d/1zp2ztZdFAJSnE25tLmAyxT0R12sdRTPD/view?usp=drivesdk
K-Scheme,Computer Technology,Second Year Fourth Semester,314301 - Environmental Education and Sustainability - Unit Test - 1,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/314301-ENVIRONMENTAL_EDUCATION_AND_SUSTAINABILITY-UNIT_TEST-1_11022025.pdf,https://drive.google.com/file/d/1wIR93cIKAuuaLwekw9xrYBYthZVlRDSy/view?usp=drivesdk
K-Scheme,Computer Technology,Second Year Fourth Semester,314301 - Environmental Education and Sustainability - Unit Test - 2,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/EES_314301_200325.pdf,https://drive.google.com/file/d/1c8mIpBbJZC0AVer6e2m1fp_LRgvhBC2Z/view?usp=drivesdk
K-Scheme,Computer Technology,Third Year Fifth Semester,315319 - Operating System - Unit Test - 1,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/315319-OSY_Question_Bank-1_K-scheme_080925.pdf,https://drive.google.com/file/d/1hFo2-mGQz953u9qJ1TnIL3j1Yj3G3m4t/view?usp=drivesdk
K-Scheme,Computer Technology,Third Year Fifth Semester,315319 - Operating System - Unit Test - 2,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/315319-OPERATING_SYSTEM_-_UNIT_TEST_-_2_031025.pdf,https://drive.google.com/file/d/1Q9cH1pxaQl85-NMHHA0bHVtAqFGCkmmx/view?usp=drivesdk
K-Scheme,Computer Technology,Third Year Fifth Semester,315323 - Software Engineering - Unit Test - 1,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/ste315323_QB_080925.pdf,https://drive.google.com/file/d/16gO9a4j0CIieuAVQa_bLNBdXXXMEqMqe/view?usp=drivesdk
K-Scheme,Computer Technology,Third Year Fifth Semester,315323 - Software Engineering - Unit Test - 2,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/STE315323_QB_UT2_031025.pdf,https://drive.google.com/file/d/1jTtcedKrMwGbBflw68FXUlHC8nF3lUZS/view?usp=drivesdk
K-Scheme,Computer Technology,Third Year Fifth Semester,315321 - Advance Computer Network - Unit Test - 1,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/315321-ACN_2025-_26_UT1_QB_K_scheme_080925.pdf,https://drive.google.com/file/d/1jFseMMuU9J7y0xsO7EYGIFKr97aGyEQG/view?usp=drivesdk
K-Scheme,Computer Technology,Third Year Fifth Semester,315321 - Advance Computer Network - Unit Test - 2,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/315321_ACN_UT2_Question_Bank_K_Scheme_031025.pdf,https://drive.google.com/file/d/1WT2FK-gCqe6p2lMdaeIzbX6XTJqatyyB/view?usp=drivesdk
K-Scheme,Computer Technology,Third Year Fifth Semester,315326 - Data Analytics - Unit Test - 1,https://bvjniot.bharatividyapeeth.edu/media/pdf/question-banks-syllabus/315326-DAN__Question_Bank_1_K_scheme_080925.pdf,https://drive.google.com/file/d/1RtCWrpgMF7d0WO2zKMOsNx_iE3P7RPVu/view?usp=drivesdk
